,description,unit,variable_type,axis,initialised_by,required_init_by,updated_by,required_update_by
aerodynamic_resistance_surface,Aerodynamic resistance at surface,,,[],None,[],['hydrology'],[]
air_heat_conductivity,Air heat conductivity,,,[],None,[],['abiotic'],[]
air_temperature,Air temperature profile,C,,[],None,[],"['abiotic', 'abiotic_simple']",[]
air_temperature_ref,Air temperature at reference height (2m),C,,[],None,"['abiotic', 'abiotic_simple', 'hydrology']",[],[]
albedo_shortwave,Shortwave light albedo,-,,[],None,[],[],[]
albedo_vis,Visible light albedo,-,,[],None,[],[],[]
animal_respiration,Animal respiration aggregated over all functional types,ppm,,[],None,[],[],[]
atmospheric_co2,Atmospheric CO2 concentration profile,ppm,,[],None,[],['abiotic_simple'],[]
atmospheric_co2_ref,Atmospheric CO2 concentration at reference height (above canopy),ppm,,[],None,[],[],[]
atmospheric_pressure,Atmospheric pressure profile,kPa,,[],None,[],['abiotic_simple'],[]
atmospheric_pressure_ref,Atmospheric pressure at reference height (2m),kPa,,[],None,['hydrology'],[],[]
baseflow,Base flow,,,[],None,[],['hydrology'],[]
bulk_aerodynamic_resistance,Bulk aerodynamic resistance,s m-1,,[],None,[],[],[]
bulk_density,Bulk density of soil,kg m-3,,[],None,['soil'],[],[]
canopy_absorption,Shortwave radiation absorbed by individual canopy layers,J m-2,,[],None,[],[],[]
canopy_height,Canopy height,m,,[],None,[],[],[]
canopy_temperature,Canopy temperature of individual layers,C,,[],None,[],['abiotic'],[]
clay_fraction,Fraction of clay in soil,,,[],None,['soil'],[],[]
conductivity_from_ref_height,Conductivity from reference height,,,[],None,[],['abiotic'],[]
decomposed_carcasses,Rate of decomposed carcass biomass flow from animals into litter,kg C m^-3 day^-1,,[],None,[],[],[]
decomposed_excrement,Rate of excrement flow from animals into litter,kg C m^-3 day^-1,,[],None,[],[],[]
elevation,Elevation above sea level,m,,[],None,['hydrology'],[],[]
evapotranspiration,Evapotranspiration,-,,[],None,[],['plants'],[]
friction_velocity,Friction velocity,m s-1,,[],None,[],[],[]
ground_heat_flux,Ground heat flux,J m-2,,[],None,[],[],[]
groundwater_storage,Groundwater Storage,,,[],None,[],['hydrology'],[]
latent_heat_flux_canopy,Latent heat flux from canopy layers,J m-2,,[],None,[],[],[]
latent_heat_flux_soil,Latent heat flux from surface layer,J m-2,,[],None,[],[],[]
latent_heat_vapourisation,Latent heat of vapourisation,,,[],None,[],['hydrology'],[]
layer_absorbed_irradiation,layer_absorbed_irradiation,,,[],None,[],['plants'],[]
layer_fapar,layer_fapar,,,[],None,[],['plants'],[]
layer_heights,Heights of canopy layers,m,,[],None,[],['plants'],[]
layer_leaf_mass,layer_leaf_mass,,,[],None,[],['plants'],[]
leaf_air_heat_conductivity,Leaf air heat conductivity,,,[],None,[],['abiotic'],[]
leaf_area_index,Leaf area index,m m,,[],None,['hydrology'],['plants'],[]
leaf_vapour_conductivity,Leaf vapour conductivity,,,[],None,[],['abiotic'],[]
lignin_above_structural,Lignin content of above ground structural litter,,,[],None,['litter'],['litter'],[]
lignin_below_structural,Lignin content of above ground structural litter,,,[],None,['litter'],['litter'],[]
lignin_woody,Lignin content of woody litter,,,[],None,['litter'],['litter'],[]
litter_C_mineralisation_rate,Rate of carbon addition to soil from litter,kg C m^-3 day^-1,,[],None,[],['litter'],[]
litter_pool_above_metabolic,Above ground metabolic litter pool,kg C m^-2,,[],None,['litter'],['litter'],[]
litter_pool_above_structural,Above ground structural litter pool,kg C m^-2,,[],None,['litter'],['litter'],[]
litter_pool_below_metabolic,Below ground metabolic litter pool,kg C m^-2,,[],None,['litter'],['litter'],[]
litter_pool_below_structural,Below ground structural litter pool,kg C m^-2,,[],None,['litter'],['litter'],[]
litter_pool_woody,Woody litter pool,kg C m^-2,,[],None,['litter'],['litter'],[]
longwave_canopy,Longwave radiation from individual canopy layers,J m-2,,[],None,[],[],[]
longwave_soil,Longwave radiation from surface layer,J m-2,,[],None,[],[],[]
matric_potential,Matric potential,,,[],None,[],['hydrology'],[]
mean_annual_temperature,Mean annual temperature = temperature of deepest soil layer,C,,[],None,[],[],[]
molar_density_air,Temperature-dependent molar density of air,kg m-3,,[],None,[],['hydrology'],[]
netradiation_surface,Net shortwave radiation at the surface,J m-2,,[],None,[],[],[]
pH,Soil pH,pH,,[],None,['soil'],[],[]
photosynthetic_photon_flux_density,Photosynthetic photon flux density,,,[],None,['plants'],[],[]
plant_cohorts_cell_id,Cell ID of plant cohorts,,,[],None,['plants'],[],[]
plant_cohorts_dbh,Diameter at breast height of plant cohorts,,,[],None,['plants'],[],[]
plant_cohorts_n,Number of plant cohorts,,,[],None,['plants'],[],[]
plant_cohorts_pft,Plant functional type of plant cohorts,,,[],None,['plants'],[],[]
plant_net_co2_assimilation,Plant net CO2 assimilation,ppm,,[],None,[],[],[]
ppfd,Top of canopy photosynthetic photon flux density,mol m-2,,[],None,[],[],[]
precipitation,Precipitation,mm,,[],None,['hydrology'],[],[]
precipitation_surface,Precipitation that reaches surface,mm,,[],None,[],['hydrology'],[]
relative_humidity,Relative humidity profile,%,,[],None,[],['abiotic_simple'],[]
relative_humidity_ref,Relative humidity at reference height (2m),%,,[],None,"['abiotic', 'abiotic_simple', 'hydrology']",[],[]
river_discharge,River discharge,m3 s-1,,[],None,[],[],[]
river_discharge_rate,River discharge rate,,,[],None,[],['hydrology'],[]
roughness_length_momentum,Roughness length for momentum,m,,[],None,[],[],[]
sensible_heat_flux,Sensible heat flux from canopy and surface,J m-2,,[],None,[],[],[]
sensible_heat_flux_canopy,Sensible heat flux from canopy,J m-2,,[],None,[],[],[]
sensible_heat_flux_soil,Sensible heat flux from surface layer,J m-2,,[],None,[],[],[]
shortwave_in,Downward shortwave radiation,J m-2,,[],None,[],[],[]
soil_c_pool_lmwc,Size of low molecular weight carbon pool,kg C m-3,,[],None,['soil'],['soil'],[]
soil_c_pool_maom,Size of mineral associated organic matter pool,kg C m-3,,[],None,['soil'],['soil'],[]
soil_c_pool_microbe,Size of microbial biomass pool,kg C m-3,,[],None,['soil'],['soil'],[]
soil_c_pool_pom,Size of microbial biomass pool,kg C m-3,,[],None,['soil'],['soil'],[]
soil_enzyme_maom,soil_enzyme_maom,,,[],None,[],['soil'],[]
soil_enzyme_pom,soil_enzyme_pom,,,[],None,[],['soil'],[]
soil_evaporation,Soil evaporation,mm,,[],None,[],['hydrology'],[]
soil_moisture,Soil moisture as volumetric relative water content,-,,[],None,[],['hydrology'],[]
soil_respiration,Soil respiration,ppm,,[],None,[],[],[]
soil_temperature,Soil temperature profile,C,,[],None,[],"['abiotic', 'abiotic_simple']",[]
specific_heat_air,Specific heat of air,kJ kg-1,,[],None,[],[],[]
specific_humidity,Specific humidity of air,g kg-1,,[],None,[],[],[]
stream_flow,Estimated stream flow,mm per time step,,[],None,[],[],[]
subsurface_flow,Surface flow,,,[],None,[],['hydrology'],[]
subsurface_flow_accumulated,Accumulated subsurface flow,,,[],None,[],['hydrology'],[]
subsurface_runoff,Subsurface runoff,mm,,[],None,[],[],[]
sunshine_fraction,"Fraction of sunshine hours, between 0 and 1",-,,[],None,[],[],[]
surface_runoff,Surface runoff generated in each grid cell,mm,,[],None,[],['hydrology'],[]
surface_runoff_accumulated,Accumlated surface runoff,mm,,[],None,[],['hydrology'],[]
surface_water,Searchable surface water,%,,[],None,[],[],[]
topofcanopy_radiation,Top of canopy downward shortwave radiation,J m-2,,[],None,[],[],[]
total_river_discharge,Total river discharge,,,[],None,[],['hydrology'],[]
vapour_pressure,Vapour pressure,,,[],None,[],['abiotic'],[]
vapour_pressure_deficit,Vapour pressure deficit,,,[],None,[],"['abiotic', 'abiotic_simple']",[]
vertical_flow,Vertical flow of water through soil column,mm per time step,,[],None,[],['hydrology'],[]
wind_above_canopy,Wind above canopy,m s-1,,[],None,[],[],[]
wind_below_canopy,Wind profile within and below canopy,m s-1,,[],None,[],[],[]
wind_speed_ref,Wind speed at reference height (10m),m s-1,,[],None,['hydrology'],[],[]
